filename, language, Markdown, JSON, JavaScript, CSS, HTML, XML, Log, comment, blank, total
/home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/8-PopOver/PopOver.js, JavaScript, 0, 0, 25, 0, 0, 0, 0, 1, 5, 31
/home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/9-AddRemoveDocType/AddRemoveDocType.js, JavaScript, 0, 0, 203, 0, 0, 0, 0, 1, 17, 221
/home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/9-AddRemoveDocType/Components/1-NotAddedDocTypes.js, JavaScript, 0, 0, 50, 0, 0, 0, 0, 0, 8, 58
/home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/9-AddRemoveDocType/Components/2-AddedDocTypes.js, JavaScript, 0, 0, 41, 0, 0, 0, 0, 0, 8, 49
/home/pra-va/programavimas/4-projektas/front/src/components/7-properties/1-URL.js, JavaScript, 0, 0, 2, 0, 0, 0, 0, 1, 2, 5
/home/pra-va/programavimas/4-projektas/front/src/components/8-Statistics/Statistics.js, JavaScript, 0, 0, 298, 0, 0, 0, 0, 0, 23, 321
/home/pra-va/programavimas/4-projektas/front/src/components/8-Statistics/StatisticsByUsers.js, JavaScript, 0, 0, 131, 0, 0, 0, 0, 0, 10, 141
/home/pra-va/programavimas/4-projektas/front/src/index.css, CSS, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
/home/pra-va/programavimas/4-projektas/front/src/index.js, JavaScript, 0, 0, 43, 0, 0, 0, 0, 17, 6, 66
/home/pra-va/programavimas/4-projektas/front/src/resources/Admin/DocTypes.svg, XML, 0, 0, 0, 0, 0, 40, 0, 1, 1, 42
/home/pra-va/programavimas/4-projektas/front/src/resources/Admin/Groups.svg, XML, 0, 0, 0, 0, 0, 75, 0, 1, 1, 77
/home/pra-va/programavimas/4-projektas/front/src/resources/Admin/NewDoc.svg, XML, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
/home/pra-va/programavimas/4-projektas/front/src/resources/Admin/NewGroup.svg, XML, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
/home/pra-va/programavimas/4-projektas/front/src/resources/Admin/NewUser.svg, XML, 0, 0, 0, 0, 0, 29, 0, 0, 1, 30
/home/pra-va/programavimas/4-projektas/front/src/resources/Admin/NewUser_old.svg, XML, 0, 0, 0, 0, 0, 52, 0, 1, 1, 54
/home/pra-va/programavimas/4-projektas/front/src/resources/Admin/Users.svg, XML, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
/home/pra-va/programavimas/4-projektas/front/src/resources/admin.svg, XML, 0, 0, 0, 0, 0, 53, 0, 1, 1, 55
/home/pra-va/programavimas/4-projektas/front/src/resources/doc.svg, XML, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
/home/pra-va/programavimas/4-projektas/front/src/resources/download.svg, XML, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
/home/pra-va/programavimas/4-projektas/front/src/resources/my-documents.svg, XML, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
/home/pra-va/programavimas/4-projektas/front/src/resources/new-document.svg, XML, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
/home/pra-va/programavimas/4-projektas/front/src/resources/search.svg, XML, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
/home/pra-va/programavimas/4-projektas/front/src/resources/sign-document.svg, XML, 0, 0, 0, 0, 0, 72, 0, 1, 1, 74
/home/pra-va/programavimas/4-projektas/front/src/resources/team.svg, XML, 0, 0, 0, 0, 0, 73, 0, 1, 1, 75
/home/pra-va/programavimas/4-projektas/front/src/resources/user.svg, XML, 0, 0, 0, 0, 0, 43, 0, 1, 1, 45
/home/pra-va/programavimas/4-projektas/front/src/serviceWorker.js, JavaScript, 0, 0, 94, 0, 0, 0, 0, 31, 13, 138
/home/pra-va/programavimas/4-projektas/front/src/tests/App.test.js, JavaScript, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
/home/pra-va/programavimas/4-projektas/front/src/tests/setupTests.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
/home/pra-va/programavimas/4-projektas/front/yarn-error.log, Log, 0, 0, 0, 0, 0, 0, 10150, 0, 1530, 11680
Total, -, 201, 15740, 7574, 320, 20, 445, 10150, 155, 2480, 37085
